//Exported ASCII-File
[Header]
FileName = C:\Messungen......wip
GraphName = MNPs_005_Spec.Data 1 (CRR) (Sub BG)
SizeX = 1
SizeY = 1
SizeGraph = 1650
PositionUnit = �m
PositionX = -0.000844336967005862
PositionY = -0.00250331908302678
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	MNPs_005_Spec.Data 1 (CRR) (Sub BG)
rel. 1/cm	CCD cts
 1.19027E+03	 5.03699E+00
 1.19282E+03	 3.43115E+00
 1.19536E+03	 1.07839E+01
 1.19791E+03	 1.55914E+01
 1.20045E+03	-1.07080E+00
 1.20300E+03	 1.33561E+01
 1.20554E+03	 1.61499E+01
 1.20808E+03	 3.20267E+01
 1.21062E+03	 3.09061E+01
 1.21316E+03	 4.01770E+01
 1.21570E+03	 4.79967E+01
 1.21824E+03	 4.94243E+01
 1.22078E+03	 5.79531E+01
 1.22332E+03	 5.67444E+01
 1.22585E+03	 5.98263E+01
 1.22839E+03	 7.01620E+01
 1.23092E+03	 7.96470E+01
 1.23346E+03	 8.32787E+01
 1.23599E+03	 9.14537E+01
 1.23852E+03	 9.48696E+01
 1.24106E+03	 9.57908E+01
 1.24359E+03	 1.07582E+02
 1.24612E+03	 9.73744E+01
 1.24865E+03	 1.16400E+02
 1.25117E+03	 1.05656E+02
 1.25370E+03	 1.14909E+02
 1.25623E+03	 1.12057E+02
 1.25875E+03	 1.26200E+02
 1.26128E+03	 1.31935E+02
 1.26380E+03	 1.27628E+02
 1.26633E+03	 1.42579E+02
 1.26885E+03	 1.34121E+02
 1.27137E+03	 1.36451E+02
 1.27389E+03	 1.45203E+02
 1.27641E+03	 1.43742E+02
 1.27893E+03	 1.46702E+02
 1.28145E+03	 1.53281E+02
 1.28397E+03	 1.63346E+02
 1.28649E+03	 1.66263E+02
 1.28900E+03	 1.68398E+02
 1.29152E+03	 1.66683E+02
 1.29404E+03	 1.75685E+02
 1.29655E+03	 1.84704E+02
 1.29906E+03	 1.91372E+02
 1.30157E+03	 1.92656E+02
 1.30409E+03	 2.03455E+02
 1.30660E+03	 2.03802E+02
 1.30911E+03	 2.22831E+02
 1.31162E+03	 2.11874E+02
 1.31413E+03	 2.12364E+02
 1.31663E+03	 2.30634E+02
 1.31914E+03	 2.21384E+02
 1.32165E+03	 2.21814E+02
 1.32415E+03	 2.33056E+02
 1.32666E+03	 2.36011E+02
 1.32916E+03	 2.21279E+02
 1.33166E+03	 2.28958E+02
 1.33417E+03	 2.38383E+02
 1.33667E+03	 2.47819E+02
 1.33917E+03	 2.40566E+02
 1.34167E+03	 2.51925E+02
 1.34417E+03	 2.33795E+02
